timestamp,cash,positions_value,total_value
2026-03-12 12:00:44.981877+00:00,10000.0,0.0,10000.0
2026-03-12 12:01:00.067884+00:00,9500.0,500.0,10000.0
2026-03-12 12:01:24.689406+00:00,8900.0,1100.5946468307125,10000.594646830712
2026-03-12 12:01:44.324735+00:00,8900.0,1100.5946468307125,10000.594646830712
2026-03-12 12:01:46.083683+00:00,8900.0,1100.3964289584733,10000.396428958473
2026-03-12 12:02:04.376174+00:00,8900.0,1100.3964289584733,10000.396428958473
2026-03-12 12:02:06.569100+00:00,8900.0,1101.114498234139,10001.11449823414
2026-03-12 12:02:24.326974+00:00,8900.0,1101.114498234139,10001.11449823414
2026-03-12 12:02:46.657561+00:00,8900.0,1100.9162282912314,10000.916228291231
2026-03-12 12:03:07.047796+00:00,8900.0,1100.3346883076597,10000.33468830766
2026-03-12 12:03:26.349421+00:00,8900.0,1100.3346883076597,10000.33468830766
2026-03-12 12:03:28.698319+00:00,8900.0,1100.5459609563716,10000.545960956371
2026-03-12 12:03:46.338931+00:00,8900.0,1100.5459609563716,10000.545960956371
2026-03-12 12:04:06.749045+00:00,8900.0,1100.0261616236132,10000.026161623611
2026-03-12 12:04:26.365003+00:00,8900.0,1100.0261616236132,10000.026161623611
2026-03-12 12:04:27.647002+00:00,8900.0,1099.8409985278463,9999.840998527849
2026-03-12 12:04:45.356908+00:00,8900.0,1099.8409985278463,9999.840998527849
2026-03-12 12:05:06.609041+00:00,8900.0,1098.9246593092728,9998.924659309272
2026-03-12 12:05:26.267181+00:00,8900.0,1098.9246593092728,9998.924659309272
2026-03-12 12:05:27.629752+00:00,8900.0,1098.281385460893,9998.281385460894
2026-03-12 12:05:47.266574+00:00,8900.0,1098.281385460893,9998.281385460894
2026-03-12 12:06:27.641945+00:00,8900.0,1096.8583016860337,9996.858301686034
2026-03-12 12:07:06.969438+00:00,8900.0,1096.4487658804196,9996.44876588042
2026-03-12 12:07:27.450475+00:00,8900.0,1096.5721883253732,9996.572188325374
2026-03-12 12:07:44.521454+00:00,8900.0,1096.5721883253732,9996.572188325374
2026-03-12 12:08:07.451483+00:00,8900.0,1096.9069354897065,9996.906935489707
2026-03-12 12:08:27.269872+00:00,8900.0,1096.9069354897065,9996.906935489707
2026-03-12 12:08:47.577968+00:00,8900.0,1097.33894347538,9997.33894347538
2026-03-12 12:09:07.266460+00:00,8900.0,1097.33894347538,9997.33894347538
2026-03-12 12:09:27.637099+00:00,8900.0,1096.4487658804196,9996.44876588042
2026-03-12 12:10:28.577304+00:00,8900.0,1097.0920397287996,9997.0920397288
2026-03-12 12:11:29.576014+00:00,8900.0,1096.7217723939395,9996.72177239394
2026-03-12 12:12:30.576087+00:00,8900.0,1096.2767096317937,9996.276709631791
2026-03-12 12:13:31.603490+00:00,8900.0,1095.4352179111745,9995.435217911174
2026-03-12 12:14:32.724140+00:00,8900.0,1094.0738227164604,9994.07382271646
2026-03-12 12:15:33.635891+00:00,8900.0,1094.0120820656468,9994.012082065648
2026-03-12 12:16:34.595348+00:00,8900.0,1093.6773937579871,9993.677393757987
2026-03-12 12:17:35.560630+00:00,8900.0,1092.2674168302688,9992.26741683027
2026-03-12 12:18:36.595500+00:00,8900.0,1092.3159917772678,9992.315991777268
2026-03-12 12:19:37.593278+00:00,8900.0,1091.4389210294482,9991.438921029448
2026-03-12 12:20:37.579603+00:00,8900.0,1091.315498584495,9991.315498584496
